sentence,original annotation,claude annotation,literal example,"metaphorical to literal
appropriateness","original annotation
appropriateness",
That settles the question.,VERTICALITY,"FORCE, CONTAINMENT, SUPPORT",The sediment settles at the bottom of the lake.,,,
It’s still up for grabs.,VERTICALITY,"VERTICALITY, OBJECT, FORCE","The ball is still in the air, ready to be caught.",,,
Let’s bring it up for discussion.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, OBJECT",Let's lift the box to the table.,,,
There’s a deeper issue here.,VERTICALITY,"VERTICALITY, CONTAINMENT, OBJECT",There's a lower level in this building.,,,
That’s a profound problem.,VERTICALITY,"VERTICALITY, SCALE, SUBSTANCE",That's a deep hole in the ground.,,,
Let’s ignore all the details on the surface.,VERTICALITY,"COVERING, VERTICALITY, CONTAINMENT",Let's remove all the objects on the table.,,,
There’s a deeper issue here.,VERTICALITY,"VERTICALITY, CONTAINMENT, OBJECT",There's a lower level in this building.,,,
… a deep thinker.,VERTICALITY,"VERTICALITY, CONTAINMENT, SCALE",The diver swam in deep water.,,,
He had a probing mind.,VERTICALITY,"OBJECT, FORCE, CONTAINMENT, SOURCE_PATH_GOAL",The scientist used a probing instrument.,,,
He’s really high.,VERTICALITY,"VERTICALITY, SCALE",The airplane is flying at a high altitude.,,,
She’s coming down.,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY",The elevator is descending to the ground floor.,,,
His best jokes all fell flat.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, FORCE",The book fell flat on the table.,,,
The scheme fell through.,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, CONTAINMENT",The ball fell through the hole.,,,
If you work too hard you may collapse.,VERTICALITY,"VERTICALITY, FORCE, SUPPORT","If you stack too many bricks, the tower may collapse.",,,
He had a nervous breakdown.,VERTICALITY,"SPLITTING, FORCE, OBJECT",The glass shattered into pieces.,,,
She broke down when she heard of his death.,VERTICALITY,"SPLITTING, FORCE, VERTICALITY",The machine broke down when its parts failed.,,,
Eve tempted Adam and he fell.,VERTICALITY,"SOURCE_PATH_GOAL, FORCE, VERTICALITY",The man lost his balance and fell to the ground.,,,
Earlier their used to be fallen women.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, SCALE",Earlier there used to be women who had tripped and fallen to the ground.,,,
The government is a sinking ship.,VERTICALITY,"OBJECT, SOURCE_PATH_GOAL, VERTICALITY, CONTAINMENT",The boat is sinking in the ocean.,,,
The government has fallen.,VERTICALITY,"VERTICALITY, FORCE, SOURCE_PATH_GOAL",The building has collapsed.,,,
She is a falling star.,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, OBJECT",The meteor is falling from the sky.,,,
What caused the decline and fall of the Roman Empire?,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, FORCE",What caused the building to collapse and crumble to the ground?,,,
Your work falls short of my expectations.,VERTICALITY,"SCALE, SOURCE_PATH_GOAL, VERTICALITY",The rope falls short of reaching the ground.,,,
a high-pitched voice,VERTICALITY,"VERTICALITY, SCALE",a tall building,,,
hohe und tiefe Töne,VERTICALITY,"VERTICALITY, SCALE",Hohe und niedrige Gebäude,,,
ein tiefer Bass,VERTICALITY,"VERTICALITY, SCALE",Ein tiefer See,,,
He dropped his voice.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, FORCE",He dropped the ball to the ground.,,,
She screamed at the top of her voice.,VERTICALITY,"VERTICALITY, SCALE, FORCE",She stood at the top of the mountain.,,,
He raised his voice.,VERTICALITY,"VERTICALITY, SCALE, FORCE",He lifted the box higher.,,,
"Apparently, I’m not the only parent who’s concerned about high stakes testing.",VERTICALITY,"CONTAINMENT, PART-WHOLE, SCALE","Apparently, I'm not the only person in this room who's worried about the upcoming exam.",,,
The upwardly mobile are moving into nicer neighborhoods.,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, CONTAINMENT, SCALE",The people are moving into larger houses.,,,
Moving up the social ladder: The bottom rung vs the top rung,VERTICALITY,"VERTICALITY, SOURCE_PATH_GOAL, SCALE, OBJECT",Climbing a physical ladder: The lowest step vs the highest step,,,
His strength declined as he aged.,VERTICALITY,"SCALE, SOURCE_PATH_GOAL, VERTICALITY",The water level decreased as time passed.,,,
He is under my control.,VERTICALITY,"VERTICALITY, CONTAINMENT, FORCE",The book is under the paperweight.,,,
He fell from power.,VERTICALITY,"SOURCE_PATH_GOAL, VERTICALITY, FORCE",He fell from the ladder.,,,
His power is on the decline.,VERTICALITY,"SCALE, VERTICALITY, SOURCE_PATH_GOAL",The water level is decreasing in the reservoir.,,,
Our conservation program needs your support.,SUPPORT,"SUPPORT, FORCE, OBJECT",The building structure needs additional beams for support.,7,7,
I've really been leaning on my friends the past few months.,SUPPORT,"SUPPORT, FORCE, CONTACT",The ladder is leaning against the wall.,7,7,
The poor in our country need a boost up.,SUPPORT,"VERTICALITY, FORCE, SOURCE_PATH_GOAL, SUPPORT",The car needs a push up the hill.,7,7,
"In times of need, the impoverished should be able to lean on our government for support.",SUPPORT,"SUPPORT, FORCE, VERTICALITY","In a storm, the tree leans against the wall for physical support.",7,7,
We need welfare as a safety net.,SUPPORT,"SUPPORT, CONTAINMENT, COVERING",We need a net to catch falling objects.,7,7,
Our work in the African continent [. . .] is supported by Tear Fund,SUPPORT,"SUPPORT, CONTAINMENT, OBJECT",The building's foundation is supported by concrete pillars,7,7,
Our conservation program needs your support.,SUPPORT,"SUPPORT, FORCE, OBJECT",The building structure needs additional beams for support.,7,7,
I've really been leaning on my friends the past few months.,SUPPORT,"SUPPORT, FORCE, CONTACT",The ladder is leaning against the wall.,7,7,
"Aug 25, 2010 – And so, two of the main pillars of our democracy—a free press and the courts—will be assailed at the same time.",SUPPORT,"SUPPORT, PART-WHOLE, FORCE, VERTICALITY",The two main columns of the building—the front and back supports—will be damaged simultaneously.,7,7,
You can’t get a single joke out of him.,SUBSTANCE,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE",You can't remove a single object from this container.,7,3,
He’s full of laughs.,SUBSTANCE,"CONTAINMENT, SUBSTANCE",The bottle is full of water.,7,7,
She let out a big laugh.,SUBSTANCE,"CONTAINMENT, SOURCE_PATH_GOAL, SUBSTANCE",She released a large balloon from a container.,6,7,
She’s brimming with vim and vigor.,SUBSTANCE,"CONTAINMENT, SUBSTANCE, SCALE",The cup is brimming with water.,7,7,
She’s overflowing with vitality.,SUBSTANCE,"CONTAINMENT, SUBSTANCE, FORCE, SCALE",The bathtub is overflowing with water.,7,7,
He’s devoid of energy.,SUBSTANCE,"CONTAINMENT, SUBSTANCE, SCALE",The bottle is empty of water.,7,7,
I don’t  have any energy left at the end of the day.,SUBSTANCE,"SUBSTANCE, CONTAINMENT, SOURCE_PATH_GOAL, SCALE",The fuel tank is empty at the end of the journey.,7,7,
I’m drained.,SUBSTANCE,"SUBSTANCE, CONTAINMENT, VERTICALITY",The bathtub is drained of water.,7,7,
That took a lot out of me.,SUBSTANCE,"CONTAINMENT, FORCE, SUBSTANCE",The pump extracted a lot of water from the tank.,7,7,
I couldn’t do much sprinting until the end.,SUBSTANCE,"SOURCE_PATH_GOAL, SCALE, FORCE",I couldn't run fast until I reached the finish line.,5,2,
mixture of anger and emotion,SUBSTANCE,"SUBSTANCE, CONTAINMENT, PART-WHOLE",mixture of water and oil,7,7,
mingling of anger and emotion,SUBSTANCE,"SUBSTANCE, CONTAINMENT, FORCE",mixing of water and oil,7,7,
combination of anger and emotion,SUBSTANCE,"PART-WHOLE, CONTAINMENT, SUBSTANCE",combination of water and oil,7,7,
Anger be pure,SUBSTANCE,"SUBSTANCE, CONTAINMENT",The water is pure,7,7,
Emotion is mixed with anger,SUBSTANCE,"SUBSTANCE, CONTAINMENT, PART-WHOLE",Water is mixed with oil,7,7,
Emotion is mingled with anger,SUBSTANCE,"SUBSTANCE, CONTAINMENT, PART-WHOLE",Water is mixed with oil,7,7,
trace of anger,SUBSTANCE,"SUBSTANCE, PART-WHOLE, SCALE",trace of footprint,6,7,
combined anger,SUBSTANCE,"SUBSTANCE, FORCE, CONTAINMENT",combined ingredients,5,7,
it diffuses his anger,SUBSTANCE,"SUBSTANCE, CONTAINMENT, FORCE, SPLITTING",The gas diffuses through the room,7,7,
pure joy,SUBSTANCE,"SUBSTANCE, CONTAINMENT",pure water,7,7,
unalloyed joy,SUBSTANCE,"SUBSTANCE, OBJECT",The pure gold is unalloyed.,7,7,
mixed joy,SUBSTANCE,"SUBSTANCE, CONTAINMENT",mixed paint,,,
mixture of emotion and joy,SUBSTANCE,"SUBSTANCE, CONTAINMENT, PART-WHOLE",mixture of water and oil,,,
emotion combine with joy,SUBSTANCE,"SUBSTANCE, PART-WHOLE, FORCE",Water mixes with sugar,,,
combine emotion with joy,SUBSTANCE,"PART-WHOLE, SUBSTANCE, CONTAINMENT",Mix water with sugar,,,
emotion mingle with y,SUBSTANCE,"SUBSTANCE, CONTACT, CONTAINMENT",Water mingles with oil,,,
emotion and x be mingled,SUBSTANCE,"SUBSTANCE, CONTAINMENT, FORCE",Water and oil are mixed together in a bowl.,,,
mingled suffuse,SUBSTANCE,"SUBSTANCE, CONTAINMENT, CONTACT",The paint colors mixed and spread across the canvas.,,,
tinge of suffuse,SUBSTANCE,"SUBSTANCE, COVERING, PART-WHOLE",A drop of paint spreads on the canvas.,,,
amalgam of emotion and suffuse,SUBSTANCE,"SUBSTANCE, CONTAINMENT, PART-WHOLE",The mixture contains various ingredients.,,,
mixture of emotion and suffuse,SUBSTANCE,"SUBSTANCE, CONTAINMENT, PART-WHOLE",A mixture of water and oil suffuses the container.,,,
mixed emotions and suffuse,SUBSTANCE,"SUBSTANCE, CONTAINMENT, FORCE",The paint colors are mixed and spread across the canvas.,,,
emotions are mingled with suffuse,SUBSTANCE,"SUBSTANCE, CONTAINMENT, FORCE",The paint colors are mixed in the palette.,,,
emotions are mixed with suffuse,SUBSTANCE,"SUBSTANCE, CONTAINMENT, FORCE",The paint colors are mixed in the palette.,,,
emotions are tinged with suffuse,SUBSTANCE,"SUBSTANCE, CONTAINMENT, FORCE",The paint colors are mixed in the palette.,,,
event be(come) tinged with suffuse,SUBSTANCE,"SUBSTANCE, COVERING, CONTACT",The fabric became tinged with dye.,,,
suffuse be mixed with emotion,SUBSTANCE,"SUBSTANCE, CONTAINMENT, COVERING",The cloth is tinged with dye,,,
suffuse be tinged with emotion,SUBSTANCE,"SUBSTANCE, CONTAINMENT, COVERING",The cloth is tinged with dye,,,
emotion and suffuse mix,SUBSTANCE,"SUBSTANCE, CONTAINMENT, FORCE",Water and oil mix in the container,,,
emotion tinge suffuse,SUBSTANCE,"SUBSTANCE, COVERING, CONTAINMENT",The dye suffuses the fabric.,,,
sadness suffuse event,SUBSTANCE,"SUBSTANCE, CONTAINMENT, COVERING",Water suffuses the sponge.,,,
pure disgust,SUBSTANCE,"SUBSTANCE, CONTAINMENT",pure water,,,
combination of disgust and emotion,SUBSTANCE,"PART-WHOLE, SUBSTANCE, CONTAINMENT",mixture of water and oil,,,
mixture of disgust and emotion,SUBSTANCE,"SUBSTANCE, CONTAINMENT, PART-WHOLE",mixture of water and oil,,,
tinge of disgust,SUBSTANCE,"SUBSTANCE, PART-WHOLE, SCALE",A drop of paint in water,,,
trace of disgust,SUBSTANCE,"SUBSTANCE, PART-WHOLE, SCALE",A small amount of dirt on the floor,,,
disgust mixes with emotion,SUBSTANCE,"SUBSTANCE, CONTAINMENT, FORCE",water mixes with oil,,,
disgust is mingled with emotion,SUBSTANCE,"SUBSTANCE, CONTAINMENT, FORCE",water is mixed with oil,,,
He's filled with jealousy.,SUBSTANCE,"CONTAINMENT, SUBSTANCE",The bottle is filled with water.,,,
She's overflowing with love.,SUBSTANCE,"CONTAINMENT, SUBSTANCE, SCALE, FORCE",The bathtub is overflowing with water.,,,
He has a lot of smarts.,SUBSTANCE,"CONTAINMENT, SUBSTANCE, SCALE",He has a lot of books.,,,
He's devoid of common sense.,SUBSTANCE,"CONTAINMENT, SUBSTANCE",The bottle is empty of water.,,,
The flow of time,SUBSTANCE,"SUBSTANCE, SOURCE_PATH_GOAL, FORCE",The flow of water,,,
"Like sands through the hourglass, so are the days of our lives.",SUBSTANCE,"SOURCE_PATH_GOAL, CONTAINMENT, SUBSTANCE, SCALE","The sand flows through the narrow opening of the hourglass, measuring the passage of time.",,,
The money is all dried up.,SUBSTANCE,"SUBSTANCE, CONTAINMENT, VERTICALITY",The water in the pond has all evaporated.,,,
Liquid assets.,SUBSTANCE,"SUBSTANCE, OBJECT",Flowing water.,,,
Currency,SUBSTANCE,"SUBSTANCE, OBJECT",The coins and bills are in the wallet.,,,
He's just sponging off of you.,SUBSTANCE,"SUBSTANCE, CONTACT, FORCE, SOURCE_PATH_GOAL",The sponge is absorbing water from the surface.,,,
Americans are divided as to whether a third major party is needed in U.S. politics today,SPLITTING,"SPLITTING, CONTAINMENT, SCALE",The cake is cut into three pieces.,7,7,
What separates the men from the boys?,SPLITTING,"SPLITTING, SCALE, CONTAINMENT",What fence divides the adult section from the children's area?,7,7,
"The story is not primarily about salvation, but about severe judgement, and it ends in tragedy, in hopes dashed most cruelly to smithereens.",SPLITTING,"CONTAINMENT, SOURCE_PATH_GOAL, FORCE, SPLITTING, OBJECT","The glass vase fell from the table, shattered on the floor, and broke into many small pieces.",7,7,
"As the credibility of the DLV lay in shreds, the greater consequences for world sport were being considered by, among others, Norbert Laurens, the lawyer for the DLV.",SPLITTING,"SPLITTING, SUBSTANCE, CONTAINMENT, SCALE","As the document was torn into pieces, the wider implications for the organization were being discussed by several people, including Norbert Laurens, the legal representative of the organization.",7,7,
Dartford's hopes also crumbled rapidly when Exeter scored three times in an eight-minute spell in the second half.,SPLITTING,"OBJECT, FORCE, SCALE, SOURCE_PATH_GOAL, CONTAINMENT",The old building crumbled rapidly when the demolition team struck it three times in an eight-minute period in the afternoon.,7,7,
Mrs Margaret Thatcher has struck three notes since the Communist world began to disintegrate.,SPLITTING,"FORCE, OBJECT, SPLITTING, SCALE",The musician has played three notes since the concert began to end.,2,7,
"Sometimes truth may be suppressed for a long time but while it is imprisoned it gathers to itself more and more power so that on the day that it is finally released it explodes, blowing everything asunder.",SPLITTING,"CONTAINMENT, FORCE, SUBSTANCE, SCALE, SOURCE_PATH_GOAL, SPLITTING","Sometimes a pressurized gas may be contained for a long time but while it is compressed it accumulates more and more pressure so that on the day that it is finally released it expands rapidly, dispersing in all directions.",7,4,
"She felt as though she was dying, as though her heart was being ripped piece by piece into shreds, but she had to go on and finish the programme.",SPLITTING,"SPLITTING, FORCE, PART-WHOLE, SOURCE_PATH_GOAL","The paper was torn into small pieces, but the document still needed to be completed.",7,7,
"My mother, I'm afraid, went quite to pieces after his death.",SPLITTING,"SPLITTING, PART-WHOLE, SOURCE_PATH_GOAL",The vase fell and broke into pieces on the floor.,7,7,
"The hallways are filled with the sounds of middle school students, primarily eighth graders, dissecting the second presidential debate from the evening before.",SPLITTING,"CONTAINMENT, SUBSTANCE, SPLITTING, OBJECT","The container is filled with water, primarily from the tap, flowing from the faucet opened the evening before.",3,7,
The time will come when…,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, FORCE",The train will arrive at the station.,7,7,
The time has long since gone when…,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, SCALE",The train has long since departed from the station.,7,7,
The time for action has arrived.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, CONTAINMENT",The train has arrived at the station.,7,7,
Coming up in the weeks ahead …,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY, CONTAINMENT",Walking up the stairs in the building ahead …,6,5,
I look forward to the arrival of Christmas.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, SCALE",I look ahead to the approaching train.,7,7,
I’m looking ahead to Christmas.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, VERTICALITY",I'm looking forward on the road.,6,4,
"Before us is a great opportunity, and we don’t want it to pass us by.",SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, OBJECT, FORCE","Before us is a large vehicle, and we don't want it to drive past us.",7,7,
I can’t face the future.,SOURCE_PATH_GOAL,"CONTACT, OBJECT, SOURCE_PATH_GOAL",I can't look at the person in front of me.,7,4,
The face of things to come …,SOURCE_PATH_GOAL,"PART-WHOLE, OBJECT, SOURCE_PATH_GOAL",The front side of approaching objects …,7,7,
Let’s meet the future head-on.,SOURCE_PATH_GOAL,"CONTACT, SOURCE_PATH_GOAL, FORCE, OBJECT",Let's collide with the approaching car head-on.,7,7,
The time will come when there are no more typewriters.,SOURCE_PATH_GOAL,"SOURCE_PATH_GOAL, CONTAINMENT, OBJECT",The train will arrive when there are no more passengers on the platform.,7,7,
